Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,thscode,thsname_cn,thsname_en,currency
2026-05-14T04:00:00.000Z,229.58243344,236.2646326842,229.033070657,235.4655761719,180782900,0.0,0.0,NVDA,英伟达,Nvidia Corporation,USD
2026-05-15T04:00:00.000Z,229.4925272636,231.2305071888,223.9789641564,225.0577087402,180977600,0.0,0.0,NVDA,英伟达,Nvidia Corporation,USD
2026-05-18T04:00:00.000Z,229.6024018007,229.7322553439,218.1157890335,222.0612030029,146280900,0.0,0.0,NVDA,英伟达,Nvidia Corporation,USD
2026-05-19T04:00:00.000Z,219.3643269424,224.2186698371,217.6563261548,220.3531799316,140948200,0.0,0.0,NVDA,英伟达,Nvidia Corporation,USD
2026-05-20T04:00:00.000Z,222.9201831874,225.8667612104,220.243310359,223.209854126,184201600,0.0,0.0,NVDA,英伟达,Nvidia Corporation,USD
2026-05-21T04:00:00.000Z,222.031218056,227.1352699434,217.6762930684,219.2544555664,203381800,0.0,0.0,NVDA,英伟达,Nvidia Corporation,USD
2026-05-22T04:00:00.000Z,220.6428383337,220.7527108895,214.5499486507,215.0793304443,169275700,0.0,0.0,NVDA,英伟达,Nvidia Corporation,USD
2026-05-26T04:00:00.000Z,216.2879155086,217.926005748,211.7532073036,214.60987854,187202600,0.0,0.0,NVDA,英伟达,Nvidia Corporation,USD
2026-05-27T04:00:00.000Z,213.8707280687,213.900691925,208.536948269,212.3525085449,167601200,0.0,0.0,NVDA,英伟达,Nvidia Corporation,USD
2026-05-28T04:00:00.000Z,211.0340361545,215.2691056249,210.9741084423,214.000579834,143996000,0.0,0.0,NVDA,英伟达,Nvidia Corporation,USD
2026-05-29T04:00:00.000Z,214.3302087418,217.6063892668,210.8842279432,210.8942108154,289410600,0.0,0.0,NVDA,英伟达,Nvidia Corporation,USD
2026-06-01T04:00:00.000Z,215.4788575014,224.6082167238,215.4488936446,224.098815918,212850700,0.0,0.0,NVDA,英伟达,Nvidia Corporation,USD
2026-06-02T04:00:00.000Z,226.9155175162,232.0095863675,221.0923180145,222.5606079102,193362900,0.0,0.0,NVDA,英伟达,Nvidia Corporation,USD
2026-06-03T04:00:00.000Z,221.4618871331,222.5606126708,214.2602739079,214.5,160907000,0.0,0.0,NVDA,英伟达,Nvidia Corporation,USD
2026-06-04T04:00:00.000Z,213.9100036621,221.6000061035,210.9700012207,218.6600036621,169022200,0.25,0.0,NVDA,英伟达,Nvidia Corporation,USD
2026-06-05T04:00:00.000Z,214.5299987793,214.8699951172,204.3300018311,205.1000061035,218529000,0.0,0.0,NVDA,英伟达,Nvidia Corporation,USD
