Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,thscode,thsname_cn,thsname_en,currency
2026-05-12T04:00:00.000Z,774.700012207,782.7600097656,706.5999755859,766.5800170898,73743000,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2026-05-13T04:00:00.000Z,813.1599731445,814.950012207,779.4699707031,803.6300048828,54875100,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2026-05-14T04:00:00.000Z,787.6199951172,812.0,775.6300048828,776.0100097656,42142700,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2026-05-15T04:00:00.000Z,732.5700073242,749.5900268555,719.0,724.6599731445,48519000,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2026-05-18T04:00:00.000Z,750.4600219727,757.0,663.25,681.5399780273,60042500,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2026-05-19T04:00:00.000Z,665.5800170898,725.950012207,652.2100219727,698.7399902344,61792100,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2026-05-20T04:00:00.000Z,734.9600219727,735.6799926758,700.6599731445,731.9899902344,48827400,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2026-05-21T04:00:00.000Z,736.3599853516,764.9000244141,732.200012207,762.0999755859,42461500,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2026-05-22T04:00:00.000Z,756.8200073242,780.200012207,747.200012207,751.0,36002900,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2026-05-26T04:00:00.000Z,820.5,916.799987793,820.299987793,895.8800048828,76560800,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2026-05-27T04:00:00.000Z,955.6599731445,956.1599731445,888.1500244141,928.4099731445,72295700,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2026-05-28T04:00:00.000Z,929.8300170898,949.4899902344,904.7800292969,923.5200195312,49694300,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2026-05-29T04:00:00.000Z,957.0,981.0,940.5100097656,971.0,60498600,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2026-06-01T04:00:00.000Z,1009.7199707031,1046.9699707031,1009.5,1035.5,46552100,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2026-06-02T04:00:00.000Z,1050.0,1076.5600585938,1017.200012207,1064.0999755859,47555400,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2026-06-03T04:00:00.000Z,1079.0100097656,1089.2900390625,1038.5,1079.5699462891,40324200,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2026-06-04T04:00:00.000Z,1007.0999755859,1036.3699951172,971.6799926758,996.0,54917200,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2026-06-05T04:00:00.000Z,944.4000244141,961.8900146484,864.0100097656,864.0100097656,76501000,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
